call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0001585,15.0,1292.0,28.0,11.7,277.0,21.45,89.0,67.4,,87.27,602.0,27.0,40.58,1.0
CALL0005106,3337.0,,330.0,352.7,10.0,6.45,1.0,36.15,38.37,14.9,127.0,0.0,95.35,0.0
CALL0007108,82.0,1407.0,19.0,17.5,86.0,64.95,84.0,28.27,81.34,61.41,242.0,23.0,49.51,1.0
CALL0001405,698.0,10.0,366.0,370.6,7.0,2.78,4.0,29.21,11.93,4.95,46.0,0.0,74.48,0.0
CALL0005924,78.0,1049.0,23.0,15.4,112.0,70.0,81.0,59.66,31.5,63.5,293.0,21.0,11.66,1.0
CALL0008034,8.0,9.0,38.0,54.4,1.0,,79.0,62.73,53.43,65.05,29.0,1.0,28.43,1.0
CALL0001921,,5.0,213.0,151.8,150.0,3.94,0.0,21.84,22.67,5.58,90.0,1.0,88.43,0.0
CALL0005654,793.0,,275.0,236.3,11.0,15.19,3.0,18.1,17.03,31.09,42.0,0.0,59.96,0.0
CALL0000949,813.0,11.0,209.0,155.5,10.0,15.73,,,44.7,19.94,27.0,0.0,91.76,0.0
CALL0008633,119.0,848.0,163.0,3.4,332.0,42.74,77.0,67.88,46.44,74.14,104.0,19.0,48.29,1.0
CALL0005155,272.0,448.0,25.0,22.6,154.0,66.31,1.0,48.19,80.49,68.45,282.0,21.0,26.01,1.0
CALL0005114,539.0,14.0,305.0,392.1,3.0,8.58,2.0,28.98,34.34,8.25,99.0,0.0,64.19,0.0
CALL0009739,14.0,,35.0,16.4,212.0,75.71,82.0,65.93,,32.23,,22.0,19.12,1.0
CALL0001554,1477.0,58.0,575.0,130.3,9.0,3.25,0.0,63.14,70.18,18.68,109.0,0.0,81.42,0.0
CALL0009858,390.0,5.0,125.0,126.6,7.0,6.57,0.0,33.58,44.58,27.24,153.0,0.0,81.56,0.0
CALL0003011,507.0,1117.0,10.0,3.3,274.0,40.78,84.0,60.57,24.43,78.7,180.0,26.0,41.76,1.0
CALL0004944,1006.0,15.0,16.0,28.9,5.0,,2.0,62.8,71.08,83.51,,29.0,35.0,1.0
CALL0003691,1681.0,5.0,122.0,123.1,9.0,4.28,1.0,,29.95,15.72,35.0,0.0,71.91,0.0
CALL0004555,3.0,615.0,49.0,36.7,124.0,60.93,77.0,65.58,65.28,56.72,627.0,28.0,25.19,1.0
CALL0003571,440.0,,415.0,274.2,61.0,23.22,3.0,21.53,29.35,661.75,277.0,0.0,81.38,0.0
CALL0001525,706.0,13.0,306.0,,7.0,4.04,0.0,52.57,27.31,12.12,47.0,0.0,81.15,
CALL0007403,,20.0,296.0,334.3,12.0,5.22,2.0,13.46,25.22,18.15,77.0,0.0,72.4,0.0
CALL0007553,14.0,1457.0,45.0,52.4,,66.12,78.0,85.78,62.04,66.31,407.0,0.0,,1.0
CALL0006262,530.0,12.0,700.0,654.4,3.0,13.57,2.0,25.8,1.98,17.28,14.0,0.0,92.55,0.0
CALL0008142,2092.0,7.0,193.0,217.9,6.0,15.57,1.0,31.5,20.64,15.25,62.0,0.0,87.07,0.0
call0002927,1474.0,956.0,42.0,18.7,,74.59,67.0,51.65,59.41,75.36,211.0,20.0,6.87,1.0
CALL0008917,1851.0,1.0,217.0,281.8,8.0,,1.0,28.76,,2.57,87.0,1.0,73.98,0.0
CALL0005431,1922.0,8.0,427.0,548.9,6.0,3.71,0.0,31.16,10.37,15.61,46.0,0.0,80.68,0.0
CALL0000456,2506.0,142.0,176.0,204.6,66.0,2.1,4.0,8.3,19.85,47.96,227.0,1.0,90.21,0.0
CALL0004581,872.0,11.0,262.0,311.0,8.0,13.25,2.0,16.56,34.24,6.29,117.0,0.0,,0.0
CALL0003423,45.0,17525.0,20.0,12.7,223.0,34.74,101.0,69.12,54.16,53.55,290.0,18.0,24.97,1.0
CALL0001503,15.0,,6.0,6.9,75.0,55.69,86.0,49.23,46.48,85.4,647.0,32.0,24.05,1.0
CALL0003558,3450.0,427.0,254.0,375.3,76.0,9.82,3.0,16.45,36.46,19.32,269.0,1.0,92.2,0.0
CALL0005873,58.0,911.0,17.0,29.0,65.0,70.81,3.0,54.52,18.12,62.34,217.0,15.0,33.48,1.0
CALL0005074,11.0,,10.0,19.3,74.0,44.92,71.0,79.09,41.02,57.72,,24.0,63.43,1.0
CALL0007000,235.0,701.0,37.0,34.0,156.0,65.47,85.0,64.18,,71.0,471.0,17.0,32.24,1.0
CALL0007852,911.0,26.0,85.0,138.2,8.0,4.5,2.0,,,25.8,79.0,2.0,89.66,0.0
CALL0003683,22.0,694.0,55.0,50.7,127.0,52.06,87.0,45.86,44.52,67.09,246.0,13.0,32.57,1.0
CALL0002626,26.0,929.0,40.0,37.4,189.0,50.92,93.0,65.67,53.25,44.64,179.0,18.0,48.1,1.0
CALL0004798,648.0,2.0,200.0,121.6,7.0,6.04,0.0,48.58,29.92,18.56,148.0,1.0,62.11,0.0
CALL0000021,991.0,,279.0,231.6,8.0,5.5,0.0,14.47,6.5,32.07,89.0,0.0,83.69,0.0
CALL0000368,426.0,23.0,64.0,64.6,6.0,11.35,1.0,48.7,13.29,1.94,65.0,0.0,75.66,0.0
CALL0005544,824.0,6.0,164.0,151.5,6.0,11.5,0.0,41.33,24.22,9.59,72.0,0.0,82.7,0.0
CALL0006728,9.0,920.0,75.0,58.6,119.0,60.5,72.0,47.21,22.8,68.37,370.0,17.0,,1.0
CALL0004844,33.0,115.0,53.0,66.2,158.0,62.77,80.0,72.03,95.1,,579.0,1.0,18.2,1.0
CALL0000591,485.0,11.0,346.0,237.3,9.0,4.11,1.0,12.3,9.42,18.65,124.0,1.0,88.69,0.0
CALL0003566,,12.0,,145.3,5.0,18.69,5.0,12.13,4.82,7.02,,1.0,42.75,0.0
CALL0004869,273.0,5.0,286.0,384.0,9.0,10.93,0.0,73.94,24.7,,138.0,1.0,75.29,0.0
